BTC;Bitcoin
WBTC;Wrapped Bitcoin
USDT;TetherUS
YFI;yearn.finance
PAXG;PAX Gold
ETH;Ethereum
BETH;BETH
YFII;DFI.Money
MKR;Maker
BIFI;Beefy.Finance
BNB;BNB
AUTO;Auto
BNX;BinaryX
XMR;Monero
QNT;Quant
BCH;Bitcoin Cash
KP3R;Keep3rV1
AAVE;Aave
COMP;Compound
ILV;Illuvium
QUICK;QuickSwap
ZEC;Zcash
LTC;Litecoin
EGLD;Elrond eGold
KSM;Kusama
DASH;Dash
FARM;Harvest Finance
BNBUP;BNBUP
SOL;Solana
ETC;Ethereum Classic
DCR;Decred
FTT;FTX Token
ALCX;Alchemix
BTG;Bitcoin Gold
MLN;Enzyme
SANTOS;Santos FC Fan Token
AVAX;Avalanche
TRB;Tellor Tributes
ENS;Ethereum Name Service
WNXM;Wrapped NXM
DOTDOWN;DOTDOWN
NMR;Numeraire
CREAM;Cream Finance
ZEN;Horizen
ATOM;Cosmos
AXS;Axie Infinity
SSV;SSV Token
MOVR;Moonriver
AR;Arweave
LPT;Livepeer
WING;WING
NEO;NEO
BTCST;Bitcoin Standard Hashrate Token
PSG;Paris Saint-Germain Fan Token
LINK;ChainLink
REP;Augur v2
LAZIO;Lazio Fan Token
CITY;Manchester City Fan Token
UNI;Uniswap
AUCTION;Auction
TORN;Tornado Cash
DOT;Polkadot
UNFI;Unifi Protocol DAO
ICP;Internet Computer
BAR;FC Barcelona Fan Token BAR
PORTO;FC Porto Fan Token
FIL;Filecoin
PROM;Prometeus
OG;OG Fan Token
APE;ApeCoin
BAL;Balancer
BOND;BarnBridge
HNT;Helium
JUV;Juventus Fan Token
CVX;Convex Finance
XVS;Venus
FORTH;Ampleforth Governance Token
ATM;Atlético de Madrid Fan Token
CAKE;PancakeSwap
FXS;Frax Share
MULTI;Multichain
ERN;Ethernity Chain
ALPINE;Alpine F1 Team Fan Token
ACM;AC Milan Fan Token
BTCUP;BTCUP
ASR;AS Roma Fan Token
WAVES;Waves
BADGER;Badger DAO
PYR;Vulcan Forged PYR
NEAR;NEAR Protocol
ETHUP;ETHUP
